Code,Description,Abbreviation
D55.1,"Anaemia due to other disorders of glutathione metabolism Anaemia (due to): • enzyme deficiencies, except G6PD, related to the hexose monophosphate [HMP] shunt pathway • haemolytic nonspherocytic (hereditary), type I",ADG
D55.2,"Anaemia due to disorders of glycolytic enzymes Anaemia: • haemolytic nonspherocytic (hereditary), type II • hexokinase deficiency • pyruvate kinase [PK] deficiency • triose-phosphate isomerase deficiency",ADG
D55.3,Anaemia due to disorders of nucleotide metabolism,ADN
D55.8,Other anaemias due to enzyme disorders,AED
D55.9,"Anaemia due to enzyme disorder, unspecified",AED NOS
D55–D58,hereditary haemolytic anaemias,HHA
D55–D59,Haemolytic anaemias,HA
D56,Thalassaemia,THAL
D56.0,Alpha thalassaemia,AT
D56.1,Beta thalassaemia Cooley anaemia Severe beta thalassaemia Thalassaemia: • intermedia • major,BTC
D56.2,Delta-beta thalassaemia,DT
D56.3,Thalassaemia trait,TT
D56.4,Hereditary persistence of fetal haemoglobin [HPFH],HPF
D56.8,Other thalassaemias,THAL
D56.9,"Thalassaemia, unspecified Mediterranean anaemia (with other haemoglobinopathy) Thalassaemia (minor)(mixed)(with other haemoglobinopathy)",TMA NOS
D57,Sickle-cell disorders,SD
D57.0,Sickle-cell anaemia with crisis Hb-SS disease with crisis,SAC
D57.1,Sickle-cell anaemia without crisis Sickle-cell: anaemia disease NOS disorder,SAW NOS
D57.2,Double heterozygous sickling disorders Disease: • Hb-SC • Hb-SD • Hb-SE • sickle-cell thalassaemia,DHS
D57.3,Sickle-cell trait Hb-S trait Heterozygous haemoglobin S [HbAS],STH
D57.8,Other sickle-cell disorders,SD
D58,Other hereditary haemolytic anaemias,HHA
D58.0,Hereditary spherocytosis Acholuric (familial) jaundice Congenital (spherocytic) haemolytic icterus Minkowski–Chauffard syndrome,HSA
D58.1,Hereditary elliptocytosis Elliptocytosis (congenital) Ovalocytosis (congenital)(hereditary),HEE
D58.2,Other haemoglobinopathies Abnormal haemoglobin NOS Congenital Heinz body anaemia Disease: • Hb-C • Hb-D • Hb-E Haemoglobinopathy NOS Unstable haemoglobin haemolytic disease,HAH NOS
D58.8,Other specified hereditary haemolytic anaemias Stomatocytosis,HHA
D58.9,"Hereditary haemolytic anaemia, unspecified",HHA NOS
D59,Acquired haemolytic anaemia,AHA
D59.0,Drug-induced autoimmune haemolytic anaemia,DAH
D59.1,Other autoimmune haemolytic anaemias Autoimmune haemolytic disease (cold type)(warm type) Chronic cold haemagglutinin disease Cold agglutinin: • disease • haemoglobinuria Haemolytic anaemia: • cold type (secondary)(symptomatic) • warm type (secondary)(symptomatic),AHA
D59.2,Drug-induced nonautoimmune haemolytic anaemia Drug-induced enzyme deficiency anaemia,DNH
D59.3,Haemolytic-uraemic syndrome,HS
D59.4,Other nonautoimmune haemolytic anaemias Haemolytic anaemia: • mechanical • microangiopathic • toxic,NHA
D59.5,Paroxysmal nocturnal haemoglobinuria [Marchiafava–Micheli],PNH
D59.6,Haemoglobinuria due to haemolysis from other external causes Haemoglobinuria: • from exertion • march • paroxysmal cold,HHF
D59.8,Other acquired haemolytic anaemias,AHA
D59.9,"Acquired haemolytic anaemia, unspecified Idiopathic haemolytic anaemia, chronic",AHA NOS
D60,Acquired pure red cell aplasia [erythroblastopenia],APR
D60.0,Chronic acquired pure red cell aplasia,CAP
D60.1,Transient acquired pure red cell aplasia,TAP
D60.8,Other acquired pure red cell aplasias,APR
D60.9,"Acquired pure red cell aplasia, unspecified",APR NOS
D60–D64,Aplastic and other anaemias,AA
D61,Other aplastic anaemias,AA
D61.0,"Constitutional aplastic anaemia Aplasia, (pure) red cell (of): • congenital • infants • primary Blackfan–Diamond syndrome Familial hypoplastic anaemia Fanconi anaemia Pancytopenia with malformations",CAA
D61.1,Drug-induced aplastic anaemia,DAA
D61.2,Aplastic anaemia due to other external agents,AAE
D61.3,Idiopathic aplastic anaemia,IAA
D61.8,Other specified aplastic anaemias,AA
D61.9,"Aplastic anaemia, unspecified Hypoplastic anaemia NOS Medullary hypoplasia Panmyelophthisis",AAH NOS
D62,Acute posthaemorrhagic anaemia,APA
D63*,Anaemia in chronic diseases classified elsewhere,AIC
D63.0*,Anaemia in neoplastic disease (C00–D48†),AIN
D63.8*,Anaemia in other chronic diseases classified elsewhere Anaemia in chronic kidney disease ≥stage 3 (N18.3–N18.9†),CKD Stage 3
D64,Other anaemias,ANAE
D64.0,Hereditary sideroblastic anaemia Sex-linked hypochromic sideroblastic anaemia,HSA
D64.1,Secondary sideroblastic anaemia due to disease,SSA
D64.2,Secondary sideroblastic anaemia due to drugs and toxins,SSA
D64.3,Other sideroblastic anaemias Sideroblastic anaemia: • NOS • pyridoxine-responsive NEC,SAS NOS
D64.4,Congenital dyserythropoietic anaemia Dyshaematopoietic anaemia (congenital),CDA
D64.8,Other specified anaemias Infantile pseudoleukaemia Leukoerythroblastic anaemia,AIP
D64.9,"Anaemia, unspecified",ANAE NOS
D65,Disseminated intravascular coagulation [defibrination syndrome],DIC
D65–D68,• coagulation • lipids (E78.-) • platelets and thrombocytes (D69.-),•C•
D65–D69,"Coagulation defects, purpura and other haemorrhagic conditions",CDP
D66,Hereditary factor VIII deficiency,HFV
D67,Hereditary factor IX deficiency,HFI
D68,Other coagulation defects,CD
D68.0,Von Willebrand disease Angiohaemophilia Factor VIII deficiency with vascular defect Vascular haemophilia,VWD
D68.1,Hereditary factor XI deficiency Haemophilia C Plasma thromboplastin antecedent [PTA] deficiency,HFX
D68.2,Hereditary deficiency of other clotting factors Congenital afibrinogenaemia Deficiency: • AC globulin • proaccelerin Deficiency of factor: • I [fibrinogen] • II [prothrombin] • V [labile] • VII [stable] • X [Stuart–Prower] • XII [Hageman] • XIII [fibrin-stabilizing] Dysfibrinogenaemia (congenital) Hypoproconvertinaemia Owren disease,HDC
D68.3,Haemorrhagic disorder due to circulating anticoagulants Haemorrhage during long-term use of anticoagulants Hyperheparinaemia Increase in: • antithrombin • anti-VIIIa • anti-IXa • anti-Xa • anti-XIa,HDC
D68.4,Acquired coagulation factor deficiency Deficiency of coagulation factor due to: • liver disease • vitamin K deficiency,ACF
D68.5,Primary thrombophilia Activated protein C resistance [factor V Leiden mutation] Deficiency: • antithrombin • protein C • protein S Prothrombin gene mutation,PTA
D68.6,Other thrombophilia Anticardiolipin syndrome Antiphospholipid syndrome Presence of the lupus anticoagulant,TAS
D68.8,Other specified coagulation defects,CD
D68.9,"Coagulation defect, unspecified",CD NOS
D69,Purpura and other haemorrhagic conditions,PHC
D69.0,"Allergic purpura Purpura: • anaphylactoid • Henoch(–Schönlein) • nonthrombocytopenic: – haemorrhagic – idiopathic • vascular Vasculitis, allergic",APP
D69.1,Qualitative platelet defects Bernard–Soulier [giant platelet] syndrome Glanzmann’s disease Grey platelet syndrome Thromboasthenia (haemorrhagic)(hereditary) Thrombocytopathy,QPD
D69.2,Other nonthrombocytopenic purpura Purpura: • NOS • senile • simplex,NPP NOS
D69.3,Idiopathic thrombocytopenic purpura Evans syndrome,ITP
D69.4,Other primary thrombocytopenia,PT
D69.5,Secondary thrombocytopenia,ST
D69.6,"Thrombocytopenia, unspecified",THRO NOS
D69.8,Other specified haemorrhagic conditions Capillary fragility (hereditary) Vascular pseudohaemophilia,HCC
D69.9,"Haemorrhagic condition, unspecified Other diseases of blood and blood-forming organs (D70–D77)",HCD NOS
D70,Agranulocytosis,AGRA
D70–D72,• white blood cells classified elsewhere diagnostic abnormal findings classified elsewhere - see Alphabetical Index haemorrhagic and haematological disorders of fetus and newborn (P50–P61),•WB NOS
D70–D77,Other diseases of blood and blood-forming organs,DBB
D71,Functional disorders of polymorphonuclear neutrophils,FDP
D72,Other disorders of white blood cells,DWB
D72.0,Genetic anomalies of leukocytes Anomaly (granulation)(granulocyte) or syndrome: • Alder • May–Hegglin • Pelger–Huët Hereditary: • leukocytic: – hypersegmentation – hyposegmentation • leukomelanopathy,GAL
D72.1,Eosinophilia Eosinophilia: • allergic • hereditary,EE•
D72.8,Other specified disorders of white blood cells Leukaemoid reaction: • lymphocytic • monocytic • myelocytic Leukocytosis Lymphocytosis (symptomatic) Lymphopenia Monocytosis (symptomatic) Plasmacytosis,DWB
D72.9,"Disorder of white blood cells, unspecified",DWB NOS
D73,Diseases of spleen,DS
D73.0,"Hyposplenism Asplenia, postsurgical Atrophy of spleen",HAP
D73.1,Hypersplenism,HYPE
D73.2,Chronic congestive splenomegaly,CCS
D73.3,Abscess of spleen,AS
D73.4,Cyst of spleen,CS
D73.5,"Infarction of spleen Splenic rupture, nontraumatic Torsion of spleen",ISS
D73.8,Other diseases of spleen Fibrosis of spleen NOS Perisplenitis Splenitis NOS,DSF NOS
D73.9,"Disease of spleen, unspecified",DS NOS
D74,Methaemoglobinaemia,METH
D74.0,"Congenital methaemoglobinaemia Congenital NADH-methaemoglobin reductase deficiency Haemoglobin-M [Hb-M] disease Methaemoglobinaemia, hereditary",CMC
D74.8,Other methaemoglobinaemias Acquired methaemoglobinaemia (with sulfhaemoglobinaemia) Toxic methaemoglobinaemia,MAM
D74.9,"Methaemoglobinaemia, unspecified",METH NOS
D75,Other diseases of blood and blood-forming organs,DBB
D75.0,Familial erythrocytosis Polycythaemia: • benign • familial,FEP
D75.1,Secondary polycythaemia Erythrocytosis NOS Polycythaemia: • NOS • acquired • due to: – erythropoietin – fall in plasma volume – high altitude – stress • emotional • hypoxaemic • nephrogenous • relative,SPE NOS
D75.8,Other specified diseases of blood and blood-forming organs Basophilia,DBB
D75.9,"Disease of blood and blood-forming organs, unspecified",DBB NOS
D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,DPL
D76.1,Haemophagocytic lymphohistiocytosis Familial haemophagocytic reticulosis Histiocytoses of mononuclear phagocytes,HLF
D76.2,"Haemophagocytic syndrome, infection-associated",HSI
D76.3,Other histiocytosis syndromes Reticulohistiocytoma (giant-cell) Sinus histiocytosis with massive lymphadenopathy Xanthogranuloma,HSR
D77*,Other disorders of blood and blood-forming organs in diseases classified elsewhere,DBB
D80,Immunodeficiency with predominantly antibody defects,IPA
D80.0,Hereditary hypogammaglobulinaemia Autosomal recessive agammaglobulinaemia (Swiss type) X-linked agammaglobulinaemia [Bruton] (with growth hormone deficiency),HHA
D80.1,Nonfamilial hypogammaglobulinaemia Agammaglobulinaemia with immunoglobulin-bearing B-lymphocytes Common variable agammaglobulinaemia [CVAgamma] Hypogammaglobulinaemia NOS,NHA NOS
D80.2,Selective deficiency of immunoglobulin A [IgA],SDI
D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses,SDI
D80.4,Selective deficiency of immunoglobulin M [IgM],SDI
D80.5,Immunodeficiency with increased immunoglobulin M [IgM],III
D80.6,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,ADN
D80.7,Transient hypogammaglobulinaemia of infancy,THI
D80.8,Other immunodeficiencies with predominantly antibody defects Kappa light chain deficiency,IPA
D80.9,"Immunodeficiency with predominantly antibody defects, unspecified",IPA NOS
D80–D89,immunity disorders neutropenia (D70) abnormal white blood cells (count) (R72) preleukaemia (syndrome) (D46.9),IDN
D81,Combined immunodeficiencies,CI
D81.0,Severe combined immunodeficiency [SCID] with reticular dysgenesis,SCI
D81.1,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,SCI
D81.2,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,SCI
D81.3,Adenosine deaminase [ADA] deficiency,ADD NOS
D81.4,Nezelof syndrome,NS
D81.5,Purine nucleoside phosphorylase [PNP] deficiency,PNP
D81.6,Major histocompatibility complex class I deficiency Bare lymphocyte syndrome,MHC
D81.7,Major histocompatibility complex class II deficiency,MHC
D81.8,Other combined immunodeficiencies Biotin-dependent carboxylase deficiency,CIB
D81.9,"Combined immunodeficiency, unspecified Severe combined immunodeficiency disorder [SCID] NOS",CIS NOS
D82,Immunodeficiency associated with other major defects,IAM
D82.0,Wiskott–Aldrich syndrome Immunodeficiency with thrombocytopenia and eczema,WSI
D82.1,DiGeorge syndrome Pharyngeal pouch syndrome Thymic: • alymphoplasia • aplasia or hypoplasia with immunodeficiency,DSP
D82.2,Immunodeficiency with short-limbed stature,ISS
D82.3,Immunodeficiency following hereditary defective response to Epstein–Barr virus X-linked lymphoproliferative disease,IFH
D82.4,Hyperimmunoglobulin E [IgE] syndrome,HES
D82.8,Immunodeficiency associated with other specified major defects,IAM
D82.9,"Immunodeficiency associated with major defect, unspecified",IAM NOS
D83,Common variable immunodeficiency,CVI
D83.0,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,CVI
D83.1,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,CVI
D83.2,Common variable immunodeficiency with autoantibodies to B- or T-cells,CVI
D83.8,Other common variable immunodeficiencies,CVI
D83.9,"Common variable immunodeficiency, unspecified",CVI NOS
D84,Other immunodeficiencies,IMMU
D84.0,Lymphocyte function antigen-1 [LFA-1] defect,LFA
D84.1,Defects in the complement system C1 esterase inhibitor [C1-INH] deficiency,DIC
D84.8,Other specified immunodeficiencies,IMMU
D84.9,"Immunodeficiency, unspecified",IMMU NOS
D86,Sarcoidosis,SARC
D86.0,Sarcoidosis of lung,SL
D86.1,Sarcoidosis of lymph nodes,SLN
D86.2,Sarcoidosis of lung with sarcoidosis of lymph nodes,SLS
D86.3,Sarcoidosis of skin,SS
D86.8,Sarcoidosis of other and combined sites Iridocyclitis in sarcoidosis† (H22.1*) Multiple cranial nerve palsies in sarcoidosis† (G53.2*) Sarcoid: • arthropathy† (M14.8*) • myocarditis† (I41.8*) • myositis† (M63.3*) Uveoparotid fever [Heerfordt’s],SCS
D86.9,"Sarcoidosis, unspecified",SARC NOS
D89,"Other disorders involving the immune mechanism, not elsewhere classified",DII
D89.0,Polyclonal hypergammaglobulinaemia Benign hypergammaglobulinaemic purpura Polyclonal gammopathy NOS,PHB NOS
D89.1,Cryoglobulinaemia Cryoglobulinaemia: • essential • idiopathic • mixed • primary • secondary Cryoglobulinaemic: • purpura • vasculitis,CC•
D89.2,"Hypergammaglobulinaemia, unspecified",HYPE NOS
D89.3,Immune reconstitution syndrome Immune reconstitution inflammatory syndrome [IRIS],IRS
D89.8,"Other specified disorders involving the immune mechanism, not elsewhere classified",DII
D89.9,"Disorder involving the immune mechanism, unspecified Immune disease NOS",DII NOS
E00,Congenital iodine-deficiency syndrome,CIS
E00.0,"Congenital iodine-deficiency syndrome, neurological type Endemic cretinism, neurological type",CIS
E00.1,"Congenital iodine-deficiency syndrome, myxoedematous type Endemic cretinism: • hypothyroid • myxoedematous type",CIS
E00.2,"Congenital iodine-deficiency syndrome, mixed type Endemic cretinism, mixed type",CIS
E00.9,"Congenital iodine-deficiency syndrome, unspecified Congenital iodine-deficiency hypothyroidism NOS Endemic cretinism NOS",CIS NOS
E00–E02,iodine-deficiency-related thyroid disorders sequelae of malnutrition and other nutritional deficiencies (E64.-),ITD
E00–E07,Disorders of thyroid gland,DTG
E00–E90,"endocrine, nutritional and metabolic diseases injury, poisoning and certain other consequences of external causes (S00–T98)",ENM
E01,Iodine-deficiency-related thyroid disorders and allied conditions,ITD
E01.0,Iodine-deficiency-related diffuse (endemic) goitre,IDG
E01.1,Iodine-deficiency-related multinodular (endemic) goitre Iodine-deficiency-related nodular goitre,IMG
E01.2,"Iodine-deficiency-related (endemic) goitre, unspecified Endemic goitre NOS",IGE NOS
E01.8,Other iodine-deficiency-related thyroid disorders and allied conditions Acquired iodine-deficiency hypothyroidism NOS,ITD NOS
E02,Subclinical iodine-deficiency hypothyroidism,SIH
E03,Other hypothyroidism,HYPO
E03.0,Congenital hypothyroidism with diffuse goitre Goitre (nontoxic) congenital: • NOS • parenchymatous,CHD NOS
E03.1,Congenital hypothyroidism without goitre Aplasia of thyroid (with myxoedema) Congenital: • atrophy of thyroid • hypothyroidism NOS,CHW NOS
E03.2,Hypothyroidism due to medicaments and other exogenous substances,HME
E03.3,Postinfectious hypothyroidism,PH
E03.4,Atrophy of thyroid (acquired),AT
E03.5,Myxoedema coma,MC
E03.8,Other specified hypothyroidism,HYPO
E03.9,"Hypothyroidism, unspecified Myxoedema NOS",HMN NOS
E04,Other nontoxic goitre,NG
E04.0,"Nontoxic diffuse goitre Goitre, nontoxic: • diffuse (colloid) • simple",NDG
E04.1,Nontoxic single thyroid nodule Colloid nodule (cystic)(thyroid) Nontoxic uninodular goitre Thyroid (cystic) nodule NOS,NST NOS
E04.2,Nontoxic multinodular goitre Cystic goitre NOS Multinodular (cystic) goitre NOS,NMG NOS
E04.8,Other specified nontoxic goitre,NG
E04.9,"Nontoxic goitre, unspecified Goitre NOS Nodular goitre (nontoxic) NOS",NGG NOS
E05,Thyrotoxicosis [hyperthyroidism],THYR
E05.0,Thyrotoxicosis with diffuse goitre Exophthalmic or toxic goitre NOS Graves disease Toxic diffuse goitre,TDG NOS
E05.1,Thyrotoxicosis with toxic single thyroid nodule Thyrotoxicosis with toxic uninodular goitre,TTS
E05.2,Thyrotoxicosis with toxic multinodular goitre Toxic nodular goitre NOS,TTM NOS
E05.3,Thyrotoxicosis from ectopic thyroid tissue,TFE
E05.4,Thyrotoxicosis factitia,TF
E05.5,Thyroid crisis or storm,TCO
E05.8,Other thyrotoxicosis Overproduction of thyroid-stimulating hormone,TOT
